|1           |Coca            |01/01/2022       |01/01/2023                   |2         |10.000    |
|2           |Pepsi           |01/01/2022       |21/10/2023                   |1000      |9.500     |
|3           |Snack Poca      |15/02/2020       |31/10/2023                   |330       |5.000     |
|4           |Mi Hao Hao      |12/05/2021       |21/03/2024                   |3000      |3.300     |
|5           |Blue Soda       |05/05/2022       |05/05/2021                   |150       |15.000    |
|6           |Reb Bull        |10/08/2022       |10/08/2024                   |1         |21.000    |
|7           |Chupa-Chup      |31/12/2022       |31/12/2023                   |2000      |2.500     |
|8           |Revive          |01/01/2022       |21/10/2021                   |3         |10.000    |
|9           |Pepsi No Calo   |01/01/2022       |21/10/2023                   |2         |12.000    |
|10          |Keo 502         |01/01/2023       |31/12/2023                   |1         |9.000     |
|abc         |Mirinda         |14/06/2023       |14/06/2024                   |1         |13.000    |
